".variable",".stat","ols","logir","probit"
"(Intercept)","Estimate","0.052","-2.823***","-1.634***"
"","Std Err","[0.073]","[0.758]","[0.375]"
"factor(tipo_accidente)Accidente por MUSE","Estimate","0.264*","1.598**","0.937**"
"","Std Err","[0.143]","[0.774]","[0.470]"
"factor(condicion)Fuerza pública","Estimate","0.175***","1.112***","0.638***"
"","Std Err","[0.034]","[0.232]","[0.129]"
"factor(genero)Masculino","Estimate","0.089","0.981","0.540"
"","Std Err","[0.077]","[0.775]","[0.386]"
"factor(genero)Sin Información","Estimate","0.616**","3.522**","2.069**"
"","Std Err","[0.241]","[1.440]","[0.837]"
"dist_hospi","Estimate","0.000","0.000","0.000"
"","Std Err","[0.000]","[0.000]","[0.000]"
"dist_cpoblado","Estimate","-0.000*","-0.000","-0.000*"
"","Std Err","[0.000]","[0.000]","[0.000]"
"dist_vias","Estimate","-0.000***","-0.000***","-0.000***"
"","Std Err","[0.000]","[0.000]","[0.000]"
"","N","874","874","874"
"","R2","0.057","",""
"","adj R2","0.049","",""
"","AIC","878.509","863.173","863.148"
